,Date,Country,Continent,Code,Cases,Deaths
0,01/09/2020,Afghanistan,Asia,AFG,34,4
1,31/08/2020,Afghanistan,Asia,AFG,19,0
2,30/08/2020,Afghanistan,Asia,AFG,3,0
3,29/08/2020,Afghanistan,Asia,AFG,11,1
4,28/08/2020,Afghanistan,Asia,AFG,3,0
5,27/08/2020,Afghanistan,Asia,AFG,55,4
6,26/08/2020,Afghanistan,Asia,AFG,1,0
7,25/08/2020,Afghanistan,Asia,AFG,71,10
8,24/08/2020,Afghanistan,Asia,AFG,0,0
9,23/08/2020,Afghanistan,Asia,AFG,105,2
10,22/08/2020,Afghanistan,Asia,AFG,38,0
11,21/08/2020,Afghanistan,Asia,AFG,97,2
12,20/08/2020,Afghanistan,Asia,AFG,160,8
13,19/08/2020,Afghanistan,Asia,AFG,0,0
14,18/08/2020,Afghanistan,Asia,AFG,3,0
15,17/08/2020,Afghanistan,Asia,AFG,45,5
16,16/08/2020,Afghanistan,Asia,AFG,120,7
17,15/08/2020,Afghanistan,Asia,AFG,7,0
18,14/08/2020,Afghanistan,Asia,AFG,79,9
19,13/08/2020,Afghanistan,Asia,AFG,76,10
20,12/08/2020,Afghanistan,Asia,AFG,215,32
21,11/08/2020,Afghanistan,Asia,AFG,0,0
22,10/08/2020,Afghanistan,Asia,AFG,0,0
23,09/08/2020,Afghanistan,Asia,AFG,39,5
24,08/08/2020,Afghanistan,Asia,AFG,78,9
25,07/08/2020,Afghanistan,Asia,AFG,41,0
26,06/08/2020,Afghanistan,Asia,AFG,67,4
27,05/08/2020,Afghanistan,Asia,AFG,82,6
28,04/08/2020,Afghanistan,Asia,AFG,37,4
29,03/08/2020,Afghanistan,Asia,AFG,0,1
30,02/08/2020,Afghanistan,Asia,AFG,0,0
31,01/08/2020,Afghanistan,Asia,AFG,168,12
32,31/07/2020,Afghanistan,Asia,AFG,71,0
33,30/07/2020,Afghanistan,Asia,AFG,0,0
34,29/07/2020,Afghanistan,Asia,AFG,103,1
35,28/07/2020,Afghanistan,Asia,AFG,105,1
36,27/07/2020,Afghanistan,Asia,AFG,106,10
37,26/07/2020,Afghanistan,Asia,AFG,121,13
38,25/07/2020,Afghanistan,Asia,AFG,108,35
39,24/07/2020,Afghanistan,Asia,AFG,13,0
40,23/07/2020,Afghanistan,Asia,AFG,188,21
41,22/07/2020,Afghanistan,Asia,AFG,112,4
42,21/07/2020,Afghanistan,Asia,AFG,140,5
43,20/07/2020,Afghanistan,Asia,AFG,174,17
44,19/07/2020,Afghanistan,Asia,AFG,12,17
45,18/07/2020,Afghanistan,Asia,AFG,219,32
46,17/07/2020,Afghanistan,Asia,AFG,76,21
47,16/07/2020,Afghanistan,Asia,AFG,254,49
48,15/07/2020,Afghanistan,Asia,AFG,285,33
49,14/07/2020,Afghanistan,Asia,AFG,4,2
50,13/07/2020,Afghanistan,Asia,AFG,0,0
51,12/07/2020,Afghanistan,Asia,AFG,85,16
52,11/07/2020,Afghanistan,Asia,AFG,458,37
53,10/07/2020,Afghanistan,Asia,AFG,255,20
54,09/07/2020,Afghanistan,Asia,AFG,59,1
55,08/07/2020,Afghanistan,Asia,AFG,210,16
56,07/07/2020,Afghanistan,Asia,AFG,433,56
57,06/07/2020,Afghanistan,Asia,AFG,279,38
58,05/07/2020,Afghanistan,Asia,AFG,348,7
59,04/07/2020,Afghanistan,Asia,AFG,302,12
60,03/07/2020,Afghanistan,Asia,AFG,186,33
61,02/07/2020,Afghanistan,Asia,AFG,319,28
62,01/07/2020,Afghanistan,Asia,AFG,279,13
63,30/06/2020,Afghanistan,Asia,AFG,271,12
64,29/06/2020,Afghanistan,Asia,AFG,351,18
65,28/06/2020,Afghanistan,Asia,AFG,165,20
66,27/06/2020,Afghanistan,Asia,AFG,276,8
67,26/06/2020,Afghanistan,Asia,AFG,460,36
68,25/06/2020,Afghanistan,Asia,AFG,234,21
69,24/06/2020,Afghanistan,Asia,AFG,338,20
70,23/06/2020,Afghanistan,Asia,AFG,310,17
71,22/06/2020,Afghanistan,Asia,AFG,409,12
72,21/06/2020,Afghanistan,Asia,AFG,546,21
73,20/06/2020,Afghanistan,Asia,AFG,346,2
74,19/06/2020,Afghanistan,Asia,AFG,658,42
75,18/06/2020,Afghanistan,Asia,AFG,564,13
76,17/06/2020,Afghanistan,Asia,AFG,783,13
77,16/06/2020,Afghanistan,Asia,AFG,761,7
78,15/06/2020,Afghanistan,Asia,AFG,664,20
79,14/06/2020,Afghanistan,Asia,AFG,556,5
80,13/06/2020,Afghanistan,Asia,AFG,656,20
81,12/06/2020,Afghanistan,Asia,AFG,747,21
82,11/06/2020,Afghanistan,Asia,AFG,684,21
83,10/06/2020,Afghanistan,Asia,AFG,542,15
84,09/06/2020,Afghanistan,Asia,AFG,575,12
85,08/06/2020,Afghanistan,Asia,AFG,791,30
86,07/06/2020,Afghanistan,Asia,AFG,582,18
87,06/06/2020,Afghanistan,Asia,AFG,915,9
88,05/06/2020,Afghanistan,Asia,AFG,787,6
89,04/06/2020,Afghanistan,Asia,AFG,758,24
90,03/06/2020,Afghanistan,Asia,AFG,759,5
91,02/06/2020,Afghanistan,Asia,AFG,545,8
92,01/06/2020,Afghanistan,Asia,AFG,680,8
93,31/05/2020,Afghanistan,Asia,AFG,866,3
94,30/05/2020,Afghanistan,Asia,AFG,623,11
95,29/05/2020,Afghanistan,Asia,AFG,580,8
96,28/05/2020,Afghanistan,Asia,AFG,625,7
97,27/05/2020,Afghanistan,Asia,AFG,658,1
98,26/05/2020,Afghanistan,Asia,AFG,591,1
99,25/05/2020,Afghanistan,Asia,AFG,584,2
100,24/05/2020,Afghanistan,Asia,AFG,782,11
101,23/05/2020,Afghanistan,Asia,AFG,540,12
102,22/05/2020,Afghanistan,Asia,AFG,531,6
103,21/05/2020,Afghanistan,Asia,AFG,492,9
104,20/05/2020,Afghanistan,Asia,AFG,581,5
105,19/05/2020,Afghanistan,Asia,AFG,408,4
106,18/05/2020,Afghanistan,Asia,AFG,262,1
107,17/05/2020,Afghanistan,Asia,AFG,0,0
108,16/05/2020,Afghanistan,Asia,AFG,1063,32
109,15/05/2020,Afghanistan,Asia,AFG,113,6
110,14/05/2020,Afghanistan,Asia,AFG,259,3
111,13/05/2020,Afghanistan,Asia,AFG,280,5
112,12/05/2020,Afghanistan,Asia,AFG,285,2
113,11/05/2020,Afghanistan,Asia,AFG,369,5
114,10/05/2020,Afghanistan,Asia,AFG,255,6
115,09/05/2020,Afghanistan,Asia,AFG,215,3
116,08/05/2020,Afghanistan,Asia,AFG,171,2
117,07/05/2020,Afghanistan,Asia,AFG,168,9
118,06/05/2020,Afghanistan,Asia,AFG,330,5
119,05/05/2020,Afghanistan,Asia,AFG,190,5
120,04/05/2020,Afghanistan,Asia,AFG,235,13
121,03/05/2020,Afghanistan,Asia,AFG,134,4
122,02/05/2020,Afghanistan,Asia,AFG,164,4
123,01/05/2020,Afghanistan,Asia,AFG,222,4
124,30/04/2020,Afghanistan,Asia,AFG,122,0
125,29/04/2020,Afghanistan,Asia,AFG,124,3
126,28/04/2020,Afghanistan,Asia,AFG,172,0
127,27/04/2020,Afghanistan,Asia,AFG,68,10
